label,formula,n_atoms,e_above_hull,converged,novel,decomp,unique,stable,SUN,pred_log10_sigma,pred_sigma_S_cm
gen_014,Li2PS3,12,0.0454,True,True,P4S3+P4S5+Li3PS4,True,True,True,-8.635557777633096,2.314420259883085e-09
gen_001,Li11P4S5,20,0.2089,True,True,LiP7+Li3P7+Li2S,True,False,False,,
gen_010,LiPS,3,0.3197,True,True,Li2S+Li3PS4+P,True,False,False,,
gen_015,LiP2S,4,0.109,True,True,Li2S+Li3PS4+P,True,False,False,,
gen_019,LiPS,3,0.3107,True,True,Li2S+Li3PS4+P,True,False,False,,
gen_029,Li(PS)3,7,0.1002,True,True,P4S3+Li3PS4+P,True,False,False,,
gen_032,Li7P4S5,16,0.1609,True,True,Li2S+Li3PS4+P,True,False,False,,
gen_037,LiPS,6,0.1967,True,True,Li2S+Li3PS4+P,True,False,False,,
gen_046,Li5P4S7,16,0.1289,True,True,P4S3+Li3PS4+P,True,False,False,,
gen_047,Li3PS4,8,0.1818,True,True,Li3PS4,True,False,False,,
gen_057,LiPS2,4,0.2564,True,True,P4S3+P4S5+Li3PS4,True,False,False,,
gen_059,Li2P2S,5,0.3348,True,True,Li2S+P,True,False,False,,
